Problem name: gauci_problem
	C++ class name: gauci_problem

	Global dimension:			2
	Integer dimension:			0
	Fitness dimension:			1
	Number of objectives:			1
	Equality constraints dimension:		0
	Inequality constraints dimension:	0
	Lower bounds: [-1, -1]
	Upper bounds: [1, 1]
	Has batch fitness evaluation: false

	Has gradient: false
	User implemented gradient sparsity: false
	Has hessians: false
	User implemented hessians sparsity: false

	Fitness evaluations: 0

	Thread safety: basic

CMAES 4 PaGMO: 
mu: CMAES 4 PaGMO: 5 - lambda: 10 - mueff: 
3.1673 - N: 2mu: 
CMAES 4 PaGMO: CMAES 4 PaGMO: 5
mu:  - lambda: 10 - mueff: 5 - lambda: 10 - mueff: cc: 
0.609083 - cs: 0.508227 - c1: 0.142275 - cmu: 0.154745 - sigma: 0.5 - damps: mu: 1.50823 - chiN: 3.16735 - lambda: 10 - mueff:  - N: 3.1673 - N: 3.16732 - N: 
2
cc: 0.609083 - cs: 1.254270.508227 - c1: 0.142275 - cmu: 
2
cc: 0.609083 - cs: 0.154745 - sigma: 0.5 - damps: 1.50823 - chiN: cc: 1.25427
0.508227 - c1: 0.142275 - cmu: 0.154745 - sigma: 0.5 - damps: 1.50823 - chiN: 1.25427
0.609083 - cs: 0.508227 - c1: 0.142275 - cmu: 0.154745 - sigma: 0.5 - damps: 1.50823 - chiN: 1.25427


   Gen:      
Gen:        Fevals:        Fevals:          Best:            dx:            df:         sigma:
      1          Best:            dx:            df:         sigma:              
   Gen:        Fevals:          Best:            dx:            df:         sigma:

1      0      1              0    1.03482e+090       0.747463       1.04562e+09Gen:     2.9212e+08    1.06194e+09       0.747463    2.48253e+08            0.5
0.5
        Fevals:          Best:            dx:            df:       0.747463    2.59505e+08            0.5
         sigma:
     33            320     1.0714e+09      0.0427883    1.75055e+08      0.0838126
     33            320    1.04598e+09       0.277069      1.425e+08       0.259628
     34            330    1.09967e+09      0.0760807    8.09924e+07       0.184104
     34            330    1.09363e+09       0.154212    1.58308e+08       0.458487
     34            330    1.11326e+09      0.0472471    7.78381e+07       0.126065
     34            330     1.0646e+09       0.118467     1.5391e+08       0.326065
     35            340     1.0545e+09       0.263284    1.30862e+08       0.237738
     35            340    1.03529e+09       0.266047    1.86417e+08       0.393983
     35            340    1.06337e+09      0.0870041    1.87629e+08       0.188078
     35            340    1.05905e+09       0.267905    1.54464e+08       0.298567
     36            350    1.07164e+09       0.133505    8.23107e+07       0.337254
     36            350    1.07687e+09       0.131615    1.02001e+08       0.461366
     36            350    1.09392e+09       0.041977    8.71836e+07       0.255801
     36            350    1.00808e+09      0.0950959    2.17066e+08       0.284839
     37            360    1.04093e+09       0.140708    1.56497e+08       0.289447
     37            360    1.03991e+09       0.144149    1.64804e+08       0.441496
     37            360    1.10247e+09      0.0744464    8.15269e+07       0.355808
     37            360    1.06161e+09       0.125557    1.65559e+08       0.304118
     38            370    1.12116e+09       0.696278    8.26671e+07       0.539215
     38            370    1.07238e+09       0.588275     1.5335e+08       0.386437
     38            370     1.0761e+09       0.452733    1.49964e+08       0.648324
     38            370    1.03133e+09       0.445489     1.9233e+08       0.335915
     39            380    1.03249e+09       0.892963    1.39763e+08       0.697771
     39            380    1.09413e+09        1.02079    9.76139e+07       0.522449
     39            380    1.04532e+09       0.382324    1.83624e+08       0.704707
     39            380    1.09367e+09       0.622806    1.31602e+08       0.415595
     40            390    1.03486e+09        0.67005     1.9409e+08       0.815651
